Country/Region,Confirmed,Deaths,Clusters
US,1486757.0,89562.0,1
Russia,281752.0,2631.0,3
UK,244995.0,34716.0,4
Brazil,241080.0,16118.0,3
Spain,230698.0,27563.0,2
Italy,225435.0,31908.0,2
France,179693.0,28111.0,4
Germany,176369.0,7962.0,3
Turkey,149435.0,4140.0,3
Iran,120198.0,6988.0,3
India,95698.0,3025.0,0
Peru,92273.0,2648.0,0
Mainland China,82954.0,4634.0,3
Canada,78332.0,5903.0,0
Belgium,55280.0,9052.0,0
Saudi Arabia,54752.0,312.0,0
Mexico,49219.0,5177.0,0
Netherlands,44195.0,5699.0,0
Chile,43781.0,450.0,0
Pakistan,40151.0,873.0,0
Ecuador,33182.0,2736.0,0
Qatar,32604.0,15.0,0
Switzerland,30587.0,1881.0,0
Sweden,30143.0,3679.0,0
Belarus,29650.0,165.0,0
Portugal,29036.0,1218.0,0
Singapore,28038.0,22.0,0
Ireland,24112.0,1543.0,0
United Arab Emirates,23358.0,220.0,0
Bangladesh,22268.0,328.0,0
Poland,18529.0,925.0,0
Ukraine,18291.0,514.0,0
Indonesia,17514.0,1148.0,0
Romania,16871.0,1107.0,0
Israel,16617.0,272.0,0
Japan,16285.0,744.0,0
Austria,16242.0,629.0,0
Colombia,15574.0,574.0,0
South Africa,15515.0,264.0,0
Kuwait,14850.0,112.0,0
Philippines,12513.0,824.0,0
Dominican Republic,12314.0,428.0,0
Egypt,12229.0,630.0,0
Denmark,11125.0,547.0,0
South Korea,11065.0,263.0,0
Serbia,10610.0,230.0,0
Panama,9606.0,275.0,0
Czech Republic,8475.0,298.0,0
Norway,8249.0,232.0,0
Argentina,8068.0,373.0,0
Australia,7054.0,99.0,0
Algeria,7019.0,548.0,0
Bahrain,6956.0,12.0,0
Malaysia,6894.0,113.0,0
Morocco,6870.0,192.0,0
Afghanistan,6664.0,169.0,0
Finland,6347.0,298.0,0
Kazakhstan,6157.0,34.0,0
Moldova,6060.0,211.0,0
Nigeria,5959.0,182.0,0
Ghana,5735.0,29.0,0
Oman,5186.0,22.0,0
Armenia,4472.0,60.0,0
Bolivia,4088.0,169.0,0
Luxembourg,3945.0,107.0,0
Hungary,3509.0,451.0,0
Iraq,3404.0,123.0,0
