Entity,Code,Date,deaths,fivedeath
Afghanistan,AFG,"Apr 5, 2020",5,0
Afghanistan,AFG,"Apr 6, 2020",7,1
Afghanistan,AFG,"Apr 7, 2020",7,2
Afghanistan,AFG,"Apr 8, 2020",11,3
Afghanistan,AFG,"Apr 9, 2020",14,4
Afghanistan,AFG,"Apr 10, 2020",15,5
Afghanistan,AFG,"Apr 11, 2020",15,6
Afghanistan,AFG,"Apr 12, 2020",18,7
Afghanistan,AFG,"Apr 13, 2020",18,8
Afghanistan,AFG,"Apr 14, 2020",21,9
Afghanistan,AFG,"Apr 15, 2020",23,10
Afghanistan,AFG,"Apr 16, 2020",25,11
Afghanistan,AFG,"Apr 17, 2020",29,12
Afghanistan,AFG,"Apr 18, 2020",30,13
Afghanistan,AFG,"Apr 19, 2020",30,14
Afghanistan,AFG,"Apr 20, 2020",33,15
Afghanistan,AFG,"Apr 21, 2020",35,16
Afghanistan,AFG,"Apr 22, 2020",36,17
Afghanistan,AFG,"Apr 23, 2020",40,18
Afghanistan,AFG,"Apr 24, 2020",42,19
Afghanistan,AFG,"Apr 25, 2020",43,20
Afghanistan,AFG,"Apr 26, 2020",47,21
Afghanistan,AFG,"Apr 27, 2020",57,22
Afghanistan,AFG,"Apr 28, 2020",57,23
Afghanistan,AFG,"Apr 29, 2020",60,24
Afghanistan,AFG,"Apr 30, 2020",60,25
Afghanistan,AFG,"May 1, 2020",64,26
Afghanistan,AFG,"May 2, 2020",68,27
Afghanistan,AFG,"May 3, 2020",72,28
Afghanistan,AFG,"May 4, 2020",85,29
Afghanistan,AFG,"May 5, 2020",90,30
Afghanistan,AFG,"May 6, 2020",95,31
Afghanistan,AFG,"May 7, 2020",104,32
Afghanistan,AFG,"May 8, 2020",106,33
Afghanistan,AFG,"May 9, 2020",109,34
Afghanistan,AFG,"May 10, 2020",115,35
Afghanistan,AFG,"May 11, 2020",120,36
Afghanistan,AFG,"May 12, 2020",122,37
Afghanistan,AFG,"May 13, 2020",127,38
