country,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality Rate (per 100)
Lesotho,1.0,0.0,0.0,1.0,0.046679849056040085,0.0
Western Sahara,6.0,0.0,6.0,0.0,1.004469891015017,0.0
Papua New Guinea,8.0,0.0,8.0,0.0,0.08941517668383027,0.0
MS Zaandam,9.0,2.0,0.0,7.0,0.0,22.22
Seychelles,11.0,0.0,11.0,0.0,11.185682326621924,0.0
Comoros,11.0,1.0,3.0,7.0,1.2649566752338732,9.09
Suriname,11.0,1.0,9.0,1.0,1.8751044092227864,9.09
Holy See,12.0,0.0,2.0,10.0,1483.3127317676144,0.0
Saint Kitts and Nevis,15.0,0.0,14.0,1.0,28.19972928259889,0.0
Dominica,16.0,0.0,16.0,0.0,22.22500034726563,0.0
Namibia,16.0,0.0,13.0,3.0,0.6296941732823911,0.0
Saint Vincent and the Grenadines,17.0,0.0,14.0,3.0,15.322631526765035,0.0
Belize,18.0,2.0,16.0,0.0,4.5269238797749605,11.11
Fiji,18.0,0.0,15.0,3.0,2.0079335686334003,0.0
Saint Lucia,18.0,0.0,18.0,0.0,9.802373263482348,0.0
Laos,19.0,0.0,14.0,5.0,0.261148426319583,0.0
Bhutan,21.0,0.0,5.0,16.0,2.721575092144757,0.0
Grenada,22.0,0.0,14.0,8.0,19.552253397204023,0.0
Timor-Leste,24.0,0.0,24.0,0.0,1.8203303596214317,0.0
Gambia,24.0,1.0,13.0,10.0,0.9931045441153591,4.17
Botswana,25.0,1.0,17.0,7.0,1.0630946685802372,4.0
Nicaragua,25.0,8.0,7.0,10.0,0.37738389633475705,32.0
Antigua and Barbuda,25.0,3.0,19.0,3.0,25.52896005228331,12.0
Eritrea,39.0,0.0,39.0,0.0,1.099698372474606,0.0
Burundi,42.0,1.0,20.0,21.0,0.3532148140647784,2.38
Zimbabwe,46.0,4.0,18.0,24.0,0.30949489289693743,8.7
Angola,50.0,3.0,17.0,30.0,0.152131662773516,6.0
Syria,58.0,3.0,36.0,19.0,0.33141612912018104,5.17
Libya,65.0,3.0,35.0,27.0,0.9459654355872488,4.62
Malawi,70.0,3.0,27.0,40.0,0.3659182679729252,4.29
Mauritania,81.0,4.0,7.0,70.0,1.7420628605102308,4.94
Liechtenstein,82.0,1.0,55.0,26.0,215.0142905839473,1.22
Barbados,88.0,7.0,68.0,13.0,30.622435805979034,7.95
Bahamas,96.0,11.0,43.0,42.0,24.412075840182275,11.46
Monaco,97.0,4.0,87.0,6.0,247.17154214657018,4.12
Trinidad and Tobago,116.0,8.0,107.0,1.0,8.288727830332599,6.9
Cambodia,122.0,0.0,122.0,0.0,0.7297099803570447,0.0
Guyana,124.0,10.0,44.0,70.0,15.76486951392076,8.06
Yemen,130.0,20.0,1.0,109.0,0.43586179667328817,15.38
Mongolia,140.0,0.0,24.0,116.0,4.270516476262639,0.0
Brunei,141.0,1.0,136.0,4.0,32.229823787438605,0.71
Mozambique,145.0,0.0,44.0,101.0,0.4639193151527086,0.0
Burma,191.0,6.0,101.0,84.0,0.35103974111719666,3.14
Eswatini,205.0,2.0,78.0,125.0,17.669915632617453,0.98
Liberia,229.0,22.0,123.0,84.0,4.527770357814467,9.61
Sao Tome and Principe,246.0,7.0,4.0,235.0,112.24624819196846,2.85
Uganda,248.0,0.0,63.0,185.0,0.5421831617148729,0.0
South Sudan,290.0,4.0,4.0,282.0,2.590736295295339,1.38
Rwanda,297.0,0.0,203.0,94.0,2.293045147742752,0.0
Madagascar,322.0,1.0,119.0,202.0,1.1628318914518818,0.31
Vietnam,324.0,0.0,263.0,61.0,0.33285875961436584,0.0
Montenegro,324.0,9.0,311.0,4.0,51.58726367778977,2.78
Central African Republic,327.0,0.0,13.0,314.0,6.770517151562685,0.0
Cabo Verde,328.0,3.0,85.0,240.0,58.994079008899476,0.91
Togo,330.0,12.0,106.0,212.0,3.986115273380468,3.64
