date,cases
"Dec 31, 2019",108
"Jan 1, 2020",108
"Jan 2, 2020",108
"Jan 3, 2020",176
"Jan 4, 2020",176
"Jan 5, 2020",236
"Jan 6, 2020",236
"Jan 7, 2020",236
"Jan 8, 2020",236
"Jan 9, 2020",236
"Jan 10, 2020",236
"Jan 11, 2020",236
"Jan 12, 2020",236
"Jan 13, 2020",244
"Jan 14, 2020",244
"Jan 15, 2020",251
"Jan 16, 2020",251
"Jan 17, 2020",275
"Jan 18, 2020",343
"Jan 19, 2020",887
"Jan 20, 2020",969
"Jan 21, 2020",1588
"Jan 22, 2020",2164
"Jan 23, 2020",2552
"Jan 24, 2020",3638
"Jan 25, 2020",5496
"Jan 26, 2020",8212
"Jan 27, 2020",11435
"Jan 28, 2020",18556
"Jan 29, 2020",24526
"Jan 30, 2020",31605
"Jan 31, 2020",39695
"Feb 1, 2020",48255
"Feb 2, 2020",58744
"Feb 3, 2020",70036
"Feb 4, 2020",83030
"Feb 5, 2020",98751
"Feb 6, 2020",113805
"Feb 7, 2020",126779
"Feb 8, 2020",140631
"Feb 9, 2020",151146
"Feb 10, 2020",163129
"Feb 11, 2020",173489
"Feb 12, 2020",181834
"Feb 13, 2020",242470
"Feb 14, 2020",259414
"Feb 15, 2020",269723
"Feb 16, 2020",278568
"Feb 17, 2020",286884
"Feb 18, 2020",294983
"Feb 19, 2020",302590
"Feb 20, 2020",304944
"Feb 21, 2020",309145
"Feb 22, 2020",314105
"Feb 23, 2020",319038
"Feb 24, 2020",321877
"Feb 25, 2020",325880
"Feb 26, 2020",330628
"Feb 27, 2020",336769
"Feb 28, 2020",344707
"Feb 29, 2020",355919
"Mar 1, 2020",366943
"Mar 2, 2020",381310
"Mar 3, 2020",393195
"Mar 4, 2020",409638
"Mar 5, 2020",426257
"Mar 6, 2020",448249
"Mar 7, 2020",479038
"Mar 8, 2020",509543
"Mar 9, 2020",541660
"Mar 10, 2020",579119
"Mar 11, 2020",616779
"Mar 12, 2020",675809
"Mar 13, 2020",746327
"Mar 14, 2020",824117
"Mar 15, 2020",919345
"Mar 16, 2020",1015660
"Mar 17, 2020",1123584
"Mar 18, 2020",1251849
"Mar 19, 2020",1405278
"Mar 20, 2020",1640230
"Mar 21, 2020",1882225
"Mar 22, 2020",2143557
"Mar 23, 2020",2402539
"Mar 24, 2020",2730613
"Mar 25, 2020",3044469
"Mar 26, 2020",3442024
"Mar 27, 2020",3902362
"Mar 28, 2020",4391561
"Mar 29, 2020",4871378
"Mar 30, 2020",5309286
"Mar 31, 2020",5789799
"Apr 1, 2020",6338982
"Apr 2, 2020",6917206
"Apr 3, 2020",7493382
"Apr 4, 2020",8099532
"Apr 5, 2020",8736239
"Apr 6, 2020",9253641
"Apr 7, 2020",9794171
"Apr 8, 2020",10354238
"Apr 9, 2020",10984596
"Apr 10, 2020",11624918
"Apr 11, 2020",12290154
"Apr 12, 2020",12896144
"Apr 13, 2020",13427490
"Apr 14, 2020",13920464
"Apr 15, 2020",14492105
"Apr 16, 2020",15084131
"Apr 17, 2020",15699515
"Apr 18, 2020",16306042
"Apr 19, 2020",16894067
"Apr 20, 2020",17429531
"Apr 21, 2020",17992028
"Apr 22, 2020",18622768
"Apr 23, 2020",19117008
"Apr 24, 2020",19689737
"Apr 25, 2020",20232039
"Apr 26, 2020",20970168
"Apr 27, 2020",21575817
"Apr 28, 2020",22059227
"Apr 29, 2020",22583234
"Apr 30, 2020",23153959
"May 1, 2020",23772496
"May 2, 2020",24442505
"May 3, 2020",25033779
"May 4, 2020",25605069
"May 5, 2020",26168666
"May 6, 2020",26747653
"May 7, 2020",27408968
"May 8, 2020",28096530
"May 9, 2020",28754581
"May 10, 2020",29413283
"May 11, 2020",29976685
"May 12, 2020",30497269
"May 13, 2020",31124449
"May 14, 2020",31752163
"May 15, 2020",32455996
"May 16, 2020",33170069
"May 17, 2020",33620974
