,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
28512,,Afghanistan,33.0,65.0,2020-05-09,4033,115,502,3416
28513,,Albania,41.1533,20.1683,2020-05-09,856,31,627,198
28514,,Algeria,28.0339,1.6596,2020-05-09,5558,494,2546,2518
28515,,Andorra,42.5063,1.5218,2020-05-09,754,48,545,161
28516,,Angola,-11.2027,17.8739,2020-05-09,43,2,13,28
28517,,Antigua and Barbuda,17.0608,-61.7964,2020-05-09,25,3,19,3
28518,,Argentina,-38.4161,-63.6167,2020-05-09,5776,300,1728,3748
28519,,Armenia,40.0691,45.0382,2020-05-09,3175,44,1267,1864
28520,Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-09,107,3,104,0
28521,New South Wales,Australia,-33.8688,151.2093,2020-05-09,3053,44,2504,505
28522,Northern Territory,Australia,-12.4634,130.8456,2020-05-09,29,0,27,2
28523,Queensland,Australia,-28.0167,153.4,2020-05-09,1045,6,1019,20
28524,South Australia,Australia,-34.9285,138.6007,2020-05-09,439,4,433,2
28525,Tasmania,Australia,-41.4545,145.9707,2020-05-09,227,13,182,32
28526,Victoria,Australia,-37.8136,144.9631,2020-05-09,1487,18,1336,133
28527,Western Australia,Australia,-31.9505,115.8605,2020-05-09,552,9,536,7
28528,,Austria,47.5162,14.5501,2020-05-09,15833,615,13928,1290
28529,,Azerbaijan,40.1431,47.5769,2020-05-09,2422,31,1620,771
28530,,Bahamas,25.0343,-77.3963,2020-05-09,92,11,37,44
28531,,Bahrain,26.0275,50.55,2020-05-09,4774,8,2055,2711
28532,,Bangladesh,23.685,90.3563,2020-05-09,13770,214,2414,11142
28533,,Barbados,13.1939,-59.5432,2020-05-09,84,7,57,20
28534,,Belarus,53.7098,27.9534,2020-05-09,22052,126,6050,15876
28535,,Belgium,50.8333,4.0,2020-05-09,52596,8581,13411,30604
28536,,Benin,9.3077,2.3158,2020-05-09,284,2,62,220
28537,,Bhutan,27.5142,90.4336,2020-05-09,7,0,5,2
28538,,Bolivia,-16.2902,-63.5887,2020-05-09,2437,114,258,2065
28539,,Bosnia and Herzegovina,43.9159,17.6791,2020-05-09,2090,102,1059,929
28540,,Brazil,-14.235,-51.9253,2020-05-09,156061,10656,61685,83720
28541,,Brunei,4.5353,114.7277,2020-05-09,141,1,132,8
28542,,Bulgaria,42.7339,25.4858,2020-05-09,1921,90,422,1409
28543,,Burkina Faso,12.2383,-1.5616,2020-05-09,748,48,569,131
28544,,Cabo Verde,16.5388,-23.0418,2020-05-09,236,2,56,178
28545,,Cambodia,11.55,104.9167,2020-05-09,122,0,120,2
28546,,Cameroon,3.8480000000000003,11.5021,2020-05-09,2274,108,1232,934
