Entity,Code,Date,deaths,fivedeath
Afghanistan,AFG,"May 6, 2020",5,0
Afghanistan,AFG,"May 7, 2020",6.28571,1
Afghanistan,AFG,"May 8, 2020",6,2
Afghanistan,AFG,"May 9, 2020",5.85714,3
Afghanistan,AFG,"May 10, 2020",6.14286,4
Afghanistan,AFG,"May 11, 2020",5,5
Afghanistan,AFG,"May 12, 2020",4.57143,6
Afghanistan,AFG,"May 13, 2020",4.57143,7
Afghanistan,AFG,"May 14, 2020",3.71429,8
Afghanistan,AFG,"May 15, 2020",4.28571,9
Afghanistan,AFG,"May 16, 2020",8.42857,10
Africa,,"Mar 23, 2020",5.14286,0
Africa,,"Mar 24, 2020",6.28571,1
Africa,,"Mar 25, 2020",7.42857,2
Africa,,"Mar 26, 2020",8,3
Africa,,"Mar 27, 2020",9.57143,4
Africa,,"Mar 28, 2020",11.28571,5
Africa,,"Mar 29, 2020",12.71429,6
Africa,,"Mar 30, 2020",14.14286,7
Africa,,"Mar 31, 2020",16.28571,8
Africa,,"Apr 1, 2020",17.85714,9
Africa,,"Apr 2, 2020",21.71429,10
Africa,,"Apr 3, 2020",24.57143,11
Africa,,"Apr 4, 2020",28.85714,12
Africa,,"Apr 5, 2020",36.42857,13
Africa,,"Apr 6, 2020",41.57143,14
Africa,,"Apr 7, 2020",44.42857,15
Africa,,"Apr 8, 2020",47.57143,16
Africa,,"Apr 9, 2020",49.85714,17
Africa,,"Apr 10, 2020",53.42857,18
Africa,,"Apr 11, 2020",55.14286,19
Africa,,"Apr 12, 2020",52,20
Africa,,"Apr 13, 2020",50.71429,21
Africa,,"Apr 14, 2020",51.14286,22
Africa,,"Apr 15, 2020",50.57143,23
Africa,,"Apr 16, 2020",48.28571,24
Africa,,"Apr 17, 2020",47.85714,25
Africa,,"Apr 18, 2020",46.42857,26
Africa,,"Apr 19, 2020",44.85714,27
Africa,,"Apr 20, 2020",47.28571,28
Africa,,"Apr 21, 2020",45.71429,29
Africa,,"Apr 22, 2020",44.71429,30
Africa,,"Apr 23, 2020",45.85714,31
Africa,,"Apr 24, 2020",45.85714,32
Africa,,"Apr 25, 2020",45.42857,33
Africa,,"Apr 26, 2020",45.85714,34
Africa,,"Apr 27, 2020",42.14286,35
Africa,,"Apr 28, 2020",45,36
Africa,,"Apr 29, 2020",47.85714,37
Africa,,"Apr 30, 2020",51.28571,38
Africa,,"May 1, 2020",49.85714,39
Africa,,"May 2, 2020",50.85714,40
Africa,,"May 3, 2020",54.57143,41
Africa,,"May 4, 2020",54.85714,42
Africa,,"May 5, 2020",53.57143,43
Africa,,"May 6, 2020",55.71429,44
Africa,,"May 7, 2020",60,45
