Task ID,Task Name,Start Date,End Date,Duration,Task
182,Western Sahara,2020-04-05,2020-04-13,8 days 00:00:00.000000000,Western Sahara
38,Comoros,2020-04-30,2020-05-10,10 days 00:00:00.000000000,Comoros
164,Tajikistan,2020-04-30,2020-05-10,10 days 00:00:00.000000000,Tajikistan
159,Suriname,2020-03-14,2020-04-02,19 days 00:00:00.000000000,Suriname
68,Greenland,2020-03-16,2020-04-05,20 days 00:00:00.000000000,Greenland
49,Dominica,2020-03-22,2020-04-11,20 days 00:00:00.000000000,Dominica
94,Laos,2020-03-24,2020-04-13,20 days 00:00:00.000000000,Laos
17,Belize,2020-03-23,2020-04-14,22 days 00:00:00.000000000,Belize
117,Namibia,2020-03-14,2020-04-06,23 days 00:00:00.000000000,Namibia
147,Seychelles,2020-03-14,2020-04-07,24 days 00:00:00.000000000,Seychelles
139,Saint Kitts and Nevis,2020-03-25,2020-04-21,27 days 00:00:00.000000000,Saint Kitts and Nevis
55,Eritrea,2020-03-21,2020-04-19,29 days 00:00:00.000000000,Eritrea
183,Yemen,2020-04-10,2020-05-09,29 days 00:00:00.000000000,Yemen
22,Botswana,2020-03-30,2020-04-29,30 days 00:00:00.000000000,Botswana
59,Fiji,2020-03-19,2020-04-21,33 days 00:00:00.000000000,Fiji
28,Burundi,2020-03-31,2020-05-03,33 days 00:00:00.000000000,Burundi
143,Sao Tome and Principe,2020-04-06,2020-05-09,33 days 00:00:00.000000000,Sao Tome and Principe
129,Papua New Guinea,2020-03-20,2020-04-23,34 days 00:00:00.000000000,Papua New Guinea
167,Timor-Leste,2020-03-22,2020-04-25,34 days 00:00:00.000000000,Timor-Leste
155,South Sudan,2020-04-05,2020-05-09,34 days 00:00:00.000000000,South Sudan
103,Malawi,2020-04-02,2020-05-10,38 days 00:00:00.000000000,Malawi
148,Sierra Leone,2020-03-31,2020-05-10,40 days 00:00:00.000000000,Sierra Leone
109,Mauritius,2020-03-18,2020-04-28,41 days 00:00:00.000000000,Mauritius
69,Grenada,2020-03-22,2020-05-03,42 days 00:00:00.000000000,Grenada
98,Libya,2020-03-24,2020-05-07,44 days 00:00:00.000000000,Libya
27,Burma,2020-03-27,2020-05-10,44 days 00:00:00.000000000,Burma
91,Kosovo,2020-03-26,2020-05-10,45 days 00:00:00.000000000,Kosovo
169,Trinidad and Tobago,2020-03-14,2020-04-28,45 days 00:00:00.000000000,Trinidad and Tobago
72,Guinea-Bissau,2020-03-25,2020-05-10,46 days 00:00:00.000000000,Guinea-Bissau
106,Mali,2020-03-25,2020-05-10,46 days 00:00:00.000000000,Mali
108,Mauritania,2020-03-14,2020-04-30,47 days 00:00:00.000000000,Mauritania
121,Nicaragua,2020-03-19,2020-05-06,48 days 00:00:00.000000000,Nicaragua
162,Syria,2020-03-22,2020-05-09,48 days 00:00:00.000000000,Syria
116,Mozambique,2020-03-22,2020-05-10,49 days 00:00:00.000000000,Mozambique
19,Bhutan,2020-03-06,2020-04-24,49 days 00:00:00.000000000,Bhutan
102,Madagascar,2020-03-20,2020-05-08,49 days 00:00:00.000000000,Madagascar
173,Uganda,2020-03-21,2020-05-10,50 days 00:00:00.000000000,Uganda
5,Antigua and Barbuda,2020-03-13,2020-05-02,50 days 00:00:00.000000000,Antigua and Barbuda
4,Angola,2020-03-20,2020-05-09,50 days 00:00:00.000000000,Angola
114,Montenegro,2020-03-17,2020-05-06,50 days 00:00:00.000000000,Montenegro
185,Zimbabwe,2020-03-20,2020-05-10,51 days 00:00:00.000000000,Zimbabwe
74,Haiti,2020-03-20,2020-05-10,51 days 00:00:00.000000000,Haiti
140,Saint Lucia,2020-03-14,2020-05-04,51 days 00:00:00.000000000,Saint Lucia
29,Cabo Verde,2020-03-20,2020-05-10,51 days 00:00:00.000000000,Cabo Verde
122,Niger,2020-03-20,2020-05-10,51 days 00:00:00.000000000,Niger
141,Saint Vincent and the Grenadines,2020-03-14,2020-05-05,52 days 00:00:00.000000000,Saint Vincent and the Grenadines
34,Chad,2020-03-19,2020-05-10,52 days 00:00:00.000000000,Chad
11,Bahamas,2020-03-16,2020-05-07,52 days 00:00:00.000000000,Bahamas
53,El Salvador,2020-03-19,2020-05-10,52 days 00:00:00.000000000,El Salvador
93,Kyrgyzstan,2020-03-18,2020-05-10,53 days 00:00:00.000000000,Kyrgyzstan
48,Djibouti,2020-03-18,2020-05-10,53 days 00:00:00.000000000,Djibouti
184,Zambia,2020-03-18,2020-05-10,53 days 00:00:00.000000000,Zambia
63,Gambia,2020-03-17,2020-05-09,53 days 00:00:00.000000000,Gambia
54,Equatorial Guinea,2020-03-15,2020-05-07,53 days 00:00:00.000000000,Equatorial Guinea
99,Liechtenstein,2020-03-04,2020-04-27,54 days 00:00:00.000000000,Liechtenstein
165,Tanzania,2020-03-16,2020-05-09,54 days 00:00:00.000000000,Tanzania
97,Liberia,2020-03-16,2020-05-09,54 days 00:00:00.000000000,Liberia
14,Barbados,2020-03-17,2020-05-10,54 days 00:00:00.000000000,Barbados
152,Somalia,2020-03-16,2020-05-10,55 days 00:00:00.000000000,Somalia
