,Axis1,Axis2,Kernel
0,-1.302243,9.333343,6
1,-50.427853,25.153162,10
2,46.292797,-32.921535,5
3,-26.910439,8.999545,3
4,22.566523,-13.084806,8
5,8.249518,20.006758,5
6,-1.018929,19.266909,11
7,4.4834657,-46.312275,4
8,12.055289,53.92978,5
9,-21.043413,2.369938,3
10,-4.972017,-30.20878,8
11,8.160191,9.43812,1
12,29.50236,18.045938,13
13,-25.859426,55.02203,14
14,40.174282,-16.923977,5
15,11.208112,2.97078,5
16,-19.741915,-34.74371,9
17,-41.396244,33.79662,11
18,5.4070706,-41.898636,4
19,24.917719,-38.59048,0
20,-16.109941,-2.1916847,7
21,-13.729159,31.351307,3
22,4.219996,-18.504158,8
23,19.898626,-18.590744,5
24,0.52765524,32.44902,14
25,34.486736,-10.604018,1
26,-33.715393,-3.7859714,3
27,-37.120087,37.07703,14
28,-18.174566,-27.526093,9
29,40.13891,-1.0201175,3
30,-2.8656228,-41.46103,4
31,-23.00015,-30.80704,9
32,23.193892,-38.581642,5
33,-34.915085,24.638884,11
34,-28.267056,51.402576,14
35,41.5924,-23.935808,5
36,32.354733,-38.5764,0
37,-10.077131,-33.915062,5
38,-24.913212,59.79611,14
39,8.918521,14.039735,5
40,9.2728405,13.368281,5
41,25.388943,-55.295773,0
42,35.04646,-40.056206,0
43,-1.441906,-35.68238,8
44,-5.3195076,-11.24098,5
45,11.224346,-52.682816,0
46,-8.465276,-24.589632,9
47,-15.942524,-24.580976,9
48,-25.87906,-14.419005,5
49,-11.727322,16.17779,7
50,11.06785,-9.433657,8
51,-22.231413,-13.983872,11
52,36.269375,-50.43268,0
53,-36.037865,11.859151,3
54,12.077299,34.77686,14
55,41.580727,-24.32184,0
56,-3.2878036,30.340107,14
57,-14.294705,-2.038317,7
58,4.0814238,-29.823034,8
59,19.053782,23.08729,5
60,38.570564,9.370612,12
61,-29.391531,43.296062,14
62,-5.847278,-40.35401,4
63,-35.559525,30.345524,11
64,40.507607,-50.685703,5
65,9.238519,12.891246,5
66,-30.073545,-21.937338,4
67,-15.847376,21.071512,11
68,30.942436,-9.975269,8
69,-23.014591,-31.825487,9
70,-28.314764,41.61616,11
71,32.691883,-26.409395,0
72,-36.122948,32.299232,11
73,-18.124935,27.157057,3
74,-14.326145,35.717915,11
75,24.556362,-56.257668,0
76,-13.306732,20.805357,3
77,21.669777,-48.325687,0
78,34.643833,4.2982106,12
79,0.6186687,-50.397057,4
80,-48.03038,29.646835,11
81,43.91482,-23.24185,5
82,-22.58197,27.316544,3
83,14.874335,10.281608,1
84,7.0194855,28.528288,1
85,45.649815,-49.63738,5
86,-45.230186,-15.20572,13
87,30.585127,-5.873081,5
88,-28.224651,58.875256,14
89,-6.1573396,-3.0902834,1
90,3.735758,34.58883,14
91,41.583027,-10.451391,12
92,-45.562485,20.069971,11
93,11.950686,31.01334,14
94,-18.376682,-27.552053,9
95,21.176153,-47.626007,0
96,-23.505293,35.061188,3
97,-31.286364,14.68091,3
98,22.62762,36.31101,1
99,-21.532495,21.139206,11
100,4.059354,15.056124,5
101,-22.264746,26.235352,3
102,35.20816,-22.390312,0
103,27.638817,-24.405724,5
104,-30.484133,5.7917676,3
105,13.45374,32.61113,14
106,3.297847,34.310345,5
107,8.750554,35.706715,14
108,-14.152089,12.267915,11
109,10.883562,15.848555,5
110,-29.780317,57.564598,14
111,-47.004143,1.0361048,10
112,37.275303,-15.127416,1
113,37.128304,10.480133,12
114,-22.207571,-30.059061,9
115,10.297623,-13.59522,8
116,-17.721304,-29.217644,13
117,47.573235,-22.832972,8
118,-36.73581,44.220974,14
119,-22.333029,19.565065,3
120,9.867176,14.093838,5
121,-32.958916,3.5349302,3
122,-20.28301,30.37199,11
123,-18.861694,3.8771749,7
124,13.126303,-57.392036,8
125,35.418613,-10.586059,12
126,-3.9158137,10.7673025,6
127,-15.495234,7.0252852,3
128,40.098324,-0.2247106,3
129,-42.383636,30.077787,11
130,-12.427391,-0.3475335,7
131,24.441084,-3.8162603,8
132,-3.7552454,57.11659,2
133,40.54522,6.3042765,14
134,-40.081764,36.391895,11
135,-5.4119153,-48.30484,4
136,-16.359583,50.748867,14
137,-22.318659,10.616911,3
138,10.264521,-52.780754,0
139,-2.0872433,-18.381697,8
140,32.17087,-4.1761518,12
141,0.88751554,-53.323353,4
142,10.114381,13.414384,5
143,29.292103,-36.42841,5
144,-25.044024,13.051807,3
145,40.179306,21.248476,5
146,-22.422354,17.751402,3
147,0.088624135,-23.958706,5
148,30.829023,-31.40409,0
149,-21.153395,5.885705,7
150,11.370646,-36.776146,5
151,18.163631,-5.731064,5
152,-17.05641,-29.050848,9
153,-0.068595946,-52.828625,4
154,38.246136,-30.980366,1
155,5.257189,-10.319668,8
156,-3.1395638,-50.036537,4
157,34.391384,-46.5454,0
158,2.6928353,-25.910912,5
159,-36.182156,0.93664837,3
160,7.664236,11.684058,7
161,16.600039,-21.088667,8
162,-33.684776,-1.5079854,3
163,-55.441578,7.619499,10
164,-46.94527,26.87913,11
165,14.008588,-38.65922,0
166,-10.341802,-14.330565,0
167,6.9548187,36.28583,14
168,-10.822142,17.502552,5
169,-49.78063,13.781407,10
170,14.522047,-30.763514,5
171,12.868757,-38.801247,0
172,1.4223441,5.9203153,6
173,-31.9056,-19.49461,5
174,12.608855,8.173833,5
175,-20.370266,-29.061974,9
176,18.845888,10.960701,0
177,15.195312,-32.002567,8
