date,deaths
"Dec 31, 2019",0
"Jan 1, 2020",0
"Jan 2, 2020",0
"Jan 3, 2020",0
"Jan 4, 2020",0
"Jan 5, 2020",0
"Jan 6, 2020",0
"Jan 7, 2020",0
"Jan 8, 2020",0
"Jan 9, 2020",0
"Jan 10, 2020",0
"Jan 11, 2020",4
"Jan 12, 2020",4
"Jan 13, 2020",4
"Jan 14, 2020",4
"Jan 15, 2020",8
"Jan 16, 2020",8
"Jan 17, 2020",8
"Jan 18, 2020",8
"Jan 19, 2020",12
"Jan 20, 2020",12
"Jan 21, 2020",24
"Jan 22, 2020",68
"Jan 23, 2020",68
"Jan 24, 2020",104
"Jan 25, 2020",164
"Jan 26, 2020",224
"Jan 27, 2020",324
"Jan 28, 2020",424
"Jan 29, 2020",528
"Jan 30, 2020",680
"Jan 31, 2020",852
"Feb 1, 2020",1036
"Feb 2, 2020",1224
"Feb 3, 2020",1452
"Feb 4, 2020",1712
"Feb 5, 2020",1976
"Feb 6, 2020",2264
"Feb 7, 2020",2556
"Feb 8, 2020",2900
"Feb 9, 2020",3256
"Feb 10, 2020",3644
"Feb 11, 2020",4076
"Feb 12, 2020",4464
"Feb 13, 2020",5487
"Feb 14, 2020",5539
"Feb 15, 2020",6119
"Feb 16, 2020",6687
"Feb 17, 2020",7115
"Feb 18, 2020",7507
"Feb 19, 2020",8063
"Feb 20, 2020",8537
"Feb 21, 2020",9015
"Feb 22, 2020",9473
"Feb 23, 2020",9907
"Feb 24, 2020",10548
"Feb 25, 2020",10898
"Feb 26, 2020",11193
"Feb 27, 2020",11377
"Feb 28, 2020",11655
"Feb 29, 2020",11967
"Mar 1, 2020",12285
"Mar 2, 2020",12640
"Mar 3, 2020",13063
"Mar 4, 2020",13577
"Mar 5, 2020",14084
"Mar 6, 2020",14764
"Mar 7, 2020",15478
"Mar 8, 2020",16130
"Mar 9, 2020",17853
"Mar 10, 2020",19429
"Mar 11, 2020",21500
"Mar 12, 2020",24042
"Mar 13, 2020",26783
"Mar 14, 2020",30209
"Mar 15, 2020",33039
"Mar 16, 2020",38934
"Mar 17, 2020",43642
"Mar 18, 2020",49929
"Mar 19, 2020",57359
"Mar 20, 2020",65642
"Mar 21, 2020",76412
"Mar 22, 2020",89851
"Mar 23, 2020",102755
"Mar 24, 2020",116789
"Mar 25, 2020",134588
"Mar 26, 2020",154822
"Mar 27, 2020",176398
"Mar 28, 2020",203205
"Mar 29, 2020",230483
"Mar 30, 2020",255041
"Mar 31, 2020",285332
"Apr 1, 2020",321207
"Apr 2, 2020",359143
"Apr 3, 2020",397556
"Apr 4, 2020",449150
"Apr 5, 2020",496532
"Apr 6, 2020",532480
"Apr 7, 2020",572927
"Apr 8, 2020",631864
"Apr 9, 2020",680949
"Apr 10, 2020",738113
"Apr 11, 2020",793297
"Apr 12, 2020",839250
"Apr 13, 2020",879433
"Apr 14, 2020",920479
"Apr 15, 2020",978237
"Apr 16, 2020",1056807
"Apr 17, 2020",1118315
"Apr 18, 2020",1182416
"Apr 19, 2020",1231705
"Apr 20, 2020",1269656
"Apr 21, 2020",1309962
"Apr 22, 2020",1364978
"Apr 23, 2020",1411248
"Apr 24, 2020",1466620
"Apr 25, 2020",1508017
"Apr 26, 2020",1554894
"Apr 27, 2020",1584071
"Apr 28, 2020",1620899
"Apr 29, 2020",1669595
"Apr 30, 2020",1719187
"May 1, 2020",1760255
"May 2, 2020",1803597
"May 3, 2020",1839093
"May 4, 2020",1866305
"May 5, 2020",1896146
"May 6, 2020",1940203
"May 7, 2020",1987477
"May 8, 2020",2029777
"May 9, 2020",2068815
"May 10, 2020",2101279
"May 11, 2020",2126294
"May 12, 2020",2152683
"May 13, 2020",2195092
"May 14, 2020",2233231
"May 15, 2020",2272696
"May 16, 2020",2310264
"May 17, 2020",2313284
